source,target,value
Male,Male,54207
Male,HA,124
Male,HDh,215
Male,Sh,77
Male,N,127
Male,R,134
Male,B,141
Male,Lh,106
Male,K,783
Male,AA,107
Male,ADh,181
Male,V,26
Male,M,77
Male,F,26
Male,Dh,100
Male,Th,149
Male,L,132
Male,GA,85
Male,GDh,147
Male,Gn,85
Male,S,270
HA,Male,5628
HA,HA,12796
HA,HDh,223
HA,Sh,28
HA,N,76
HA,R,55
HA,B,77
HA,Lh,73
HA,K,732
HA,AA,112
HA,ADh,212
HA,V,7
HA,M,30
HA,F,11
HA,Dh,63
HA,Th,29
HA,L,24
HA,GA,25
HA,GDh,27
HA,Gn,9
HA,S,40
HDh,Male,4582
HDh,HA,197
HDh,HDh,17530
HDh,Sh,99
HDh,N,66
HDh,R,55
HDh,B,99
HDh,Lh,47
HDh,K,948
HDh,AA,202
HDh,ADh,208
HDh,V,11
HDh,M,37
HDh,F,7
HDh,Dh,52
HDh,Th,22
HDh,L,31
HDh,GA,29
HDh,GDh,31
HDh,Gn,31
HDh,S,30
Sh,Male,3077
Sh,HA,37
Sh,HDh,127
Sh,Sh,11911
Sh,N,101
Sh,R,53
Sh,B,100
Sh,Lh,89
Sh,K,403
Sh,AA,70
Sh,ADh,139
Sh,V,13
Sh,M,14
Sh,F,5
Sh,Dh,43
Sh,Th,12
Sh,L,22
Sh,GA,21
Sh,GDh,8
Sh,Gn,10
Sh,S,21
N,Male,3472
N,HA,50
N,HDh,49
N,Sh,52
N,N,10280
N,R,65
N,B,79
N,Lh,272
N,K,411
N,AA,43
N,ADh,137
N,V,8
N,M,21
N,F,1
N,Dh,31
N,Th,20
N,L,32
N,GA,15
N,GDh,21
N,Gn,6
N,S,18
R,Male,4842
R,HA,43
R,HDh,52
R,Sh,92
R,N,84
R,R,14694
R,B,200
R,Lh,134
R,K,391
R,AA,81
R,ADh,103
R,V,19
R,M,16
R,F,12
R,Dh,40
R,Th,31
R,L,20
R,GA,22
R,GDh,7
R,Gn,12
R,S,29
B,Male,3673
B,HA,19
B,HDh,32
B,Sh,30
B,N,29
B,R,48
B,B,8690
B,Lh,34
B,K,274
B,AA,66
B,ADh,79
B,V,6
B,M,15
B,F,19
B,Dh,17
B,Th,14
B,L,19
B,GA,13
B,GDh,22
B,Gn,11
B,S,26
Lh,Male,3228
Lh,HA,27
Lh,HDh,37
Lh,Sh,34
Lh,N,117
Lh,R,43
Lh,B,83
Lh,Lh,7624
Lh,K,348
Lh,AA,44
Lh,ADh,95
Lh,V,8
Lh,M,10
Lh,F,9
Lh,Dh,18
Lh,Th,20
Lh,L,22
Lh,GA,20
Lh,GDh,27
Lh,Gn,13
Lh,S,20
K,Male,2153
K,HA,26
K,HDh,18
K,Sh,19
K,N,25
K,R,28
K,B,46
K,Lh,36
K,K,9612
K,AA,31
K,ADh,67
K,V,4
K,M,14
K,F,20
K,Dh,23
K,Th,15
K,L,18
K,GA,26
K,GDh,21
K,Gn,8
K,S,24
AA,Male,1485
AA,HA,8
AA,HDh,8
AA,Sh,11
AA,N,14
AA,R,10
AA,B,23
AA,Lh,22
AA,K,92
AA,AA,5424
AA,ADh,64
AA,V,1
AA,M,8
AA,F,8
AA,Dh,6
AA,Th,6
AA,L,9
AA,GA,3
AA,GDh,4
AA,Gn,6
AA,S,29
ADh,Male,1799
ADh,HA,15
ADh,HDh,25
ADh,Sh,11
ADh,N,8
ADh,R,11
ADh,B,19
ADh,Lh,9
ADh,K,118
ADh,AA,96
ADh,ADh,7861
ADh,V,9
ADh,M,12
ADh,F,13
ADh,Dh,14
ADh,Th,5
ADh,L,15
ADh,GA,6
ADh,GDh,12
ADh,Gn,1
ADh,S,15
V,Male,776
V,HA,7
V,HDh,5
V,Sh,1
V,N,11
V,R,9
V,B,13
V,Lh,3
V,K,63
V,AA,15
V,ADh,35
V,V,1406
V,M,14
V,F,2
V,Dh,5
V,Th,14
V,L,1
V,GA,0
V,GDh,2
V,Gn,0
V,S,2
M,Male,1857
M,HA,5
M,HDh,18
M,Sh,7
M,N,26
M,R,16
M,B,14
M,Lh,11
M,K,125
M,AA,31
M,ADh,67
M,V,5
M,M,4486
M,F,11
M,Dh,46
M,Th,24
M,L,13
M,GA,12
M,GDh,11
M,Gn,1
M,S,15
F,Male,1092
F,HA,4
F,HDh,6
F,Sh,6
F,N,3
F,R,4
F,B,9
F,Lh,6
F,K,55
F,AA,17
F,ADh,31
F,V,5
F,M,16
F,F,3910
F,Dh,41
F,Th,7
F,L,10
F,GA,6
F,GDh,16
F,Gn,3
F,S,11
Dh,Male,1627
Dh,HA,14
Dh,HDh,13
Dh,Sh,6
Dh,N,7
Dh,R,6
Dh,B,7
Dh,Lh,0
Dh,K,117
Dh,AA,11
Dh,ADh,43
Dh,V,2
Dh,M,24
Dh,F,17
Dh,Dh,5141
Dh,Th,17
Dh,L,23
Dh,GA,7
Dh,GDh,15
Dh,Gn,4
Dh,S,15
Th,Male,5014
Th,HA,22
Th,HDh,26
Th,Sh,18
Th,N,32
Th,R,27
Th,B,30
Th,Lh,15
Th,K,229
Th,AA,20
Th,ADh,60
Th,V,5
Th,M,18
Th,F,11
Th,Dh,47
Th,Th,8487
Th,L,86
Th,GA,19
Th,GDh,20
Th,Gn,8
Th,S,23
L,Male,3160
L,HA,26
L,HDh,22
L,Sh,14
L,N,27
L,R,15
L,B,50
L,Lh,24
L,K,233
L,AA,37
L,ADh,79
L,V,12
L,M,38
L,F,13
L,Dh,58
L,Th,125
L,L,11380
L,GA,47
L,GDh,34
L,Gn,18
L,S,33
GA,Male,4413
GA,HA,14
GA,HDh,9
GA,Sh,12
GA,N,18
GA,R,15
GA,B,33
GA,Lh,15
GA,K,169
GA,AA,21
GA,ADh,27
GA,V,4
GA,M,9
GA,F,13
GA,Dh,19
GA,Th,9
GA,L,26
GA,GA,7904
GA,GDh,126
GA,Gn,24
GA,S,76
GDh,Male,6828
GDh,HA,21
GDh,HDh,37
GDh,Sh,26
GDh,N,37
GDh,R,32
GDh,B,66
GDh,Lh,41
GDh,K,329
GDh,AA,46
GDh,ADh,79
GDh,V,10
GDh,M,23
GDh,F,20
GDh,Dh,36
GDh,Th,33
GDh,L,53
GDh,GA,244
GDh,GDh,10869
GDh,Gn,54
GDh,S,139
Gn,Male,2330
Gn,HA,26
Gn,HDh,15
Gn,Sh,6
Gn,N,38
Gn,R,9
Gn,B,81
Gn,Lh,24
Gn,K,485
Gn,AA,56
Gn,ADh,160
Gn,V,5
Gn,M,13
Gn,F,6
Gn,Dh,39
Gn,Th,17
Gn,L,20
Gn,GA,74
Gn,GDh,71
Gn,Gn,7575
Gn,S,153
S,Male,8302
S,HA,42
S,HDh,41
S,Sh,19
S,N,79
S,R,49
S,B,159
S,Lh,66
S,K,1190
S,AA,177
S,ADh,303
S,V,14
S,M,22
S,F,19
S,Dh,105
S,Th,44
S,L,57
S,GA,118
S,GDh,126
S,Gn,111
S,S,18290
